Type,Year,Location,number_of_slugs,total_slug_dry_mass,mean_slug_dry_mass
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2020,BCA,0,0,
Absent,2021,BCA,1,0.02356,0.02356
Absent,2021,BCA,1,0.04811,0.04811
Absent,2021,BCA,1,0.03032,0.03032
Absent,2021,BCA,1,0.04247,0.04247
Absent,2021,BCA,1,0.02789,0.02789
Absent,2021,BCA,3,0.0791,0.02637
Absent,2021,BCA,3,0.08439,0.02813
Absent,2021,BCA,1,0.05578,0.05578
Absent,2021,BCA,1,0.08892,0.08892
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
Absent,2021,BCA,0,0,
